"","Magnitude","dTFI uncorrected p-value","dTFI normalized scores","dTFI FDR","log FC","limma -logp"
"HOXA5",0.0143820933167444,0.81,0.974453784674115,0.909935483870968,0.0123281039853805,0.804455265063169
"STAT1",0.0039563115715756,0.81,0.706203275350115,0.909935483870968,0.00684190783719844,2.37429846139146
"NFIL3",0.0115434766944328,0.82,0.694776689432342,0.909935483870968,0.0105200518600307,3.20950820729673
"BRCA1",0.00378063342148595,0.83,0.740268913543827,0.909935483870968,0.0130121883300282,3.01905868813851
"LHX3",0.0123105078672986,0.83,0.98464311689487,0.909935483870968,0.000849317475114367,0.105148984226954
"HNF1A",0.0093523703382812,0.84,0.790844415972798,0.909935483870968,0.00484763425979898,1.26387379924746
"CDX2",0.00892426959521916,0.84,0.992666898003185,0.909935483870968,0.00370154164231286,0.599112814734155
"NR4A2",0.00483041055924202,0.84,0.98156243328838,0.909935483870968,-0.00847108303594605,1.24454417235922
"ERG",0.00380058292163374,0.85,0.966720277676528,0.909935483870968,0.0159416188338222,3.01204371609215
"MYCN",0.00451466291512216,0.85,0.723575923723027,0.909935483870968,-0.000734119337794615,0.147871183302819
"SRY",0.0123956333852929,0.85,0.926193701987986,0.909935483870968,-0.00688624351985451,0.812553545459876
"MEIS1",0.0033482075499385,0.86,0.735291948664663,0.909935483870968,-0.000342406770388868,0.0258938898903627
"FOXA1",0.00746390766196497,0.86,0.97773635158462,0.909935483870968,-0.0051407858765401,0.3822150294699
"FOXP2",0.00679669391708345,0.86,0.988606182692223,0.909935483870968,0.00566962950914383,1.80154040403546
"MAX",0.0046089604932431,0.87,0.80685421096968,0.913417721518987,0.00187492112322174,0.905343395036457
"ELF5",0.00417116636382189,0.88,0.734347875927876,0.913417721518987,0.00262363322424871,0.40565008499275
"SOX17",0.00784963131574644,0.88,0.980255248413493,0.913417721518987,0.0024809332551881,0.418224211603024
"JUNB",0.00646845945828245,0.9,0.75111514783621,0.928301886792453,0.00606073959573607,3.92585834675611
"FOSL2",0.00411096751637906,0.92,0.783529986103937,0.941481481481481,0.00779383410160113,2.69488224974319
"FOXD3",0.00638682702302763,0.93,0.897694690533723,0.941481481481481,0.0117763072386564,3.6091112888956
"NFE2L2",0.0050459220123567,0.93,0.962072935388427,0.941481481481481,0.000965797284689068,0.192561066159528
"ZNF263",0.0122906980759685,0.96,0.858935395805251,0.965889570552147,8.24950380272998e-05,0.0167759740168052
"FOXO1",0.00491993148312609,0.99,0.73901030930391,0.99,-0.00926440285042929,6.6967935525593
