"","Magnitude","dTFI uncorrected p-value","dTFI normalized scores","dTFI FDR","log FC","limma -logp"
"STAT3",0.00168457091943442,0.0249999999999999,0.128542601737713,0.144999999999999,0.0478474539749202,8.53438054619573
"ZBTB33",0.00947570691325825,0.0249999999999999,0.000493426669532449,0.144999999999999,0.00852079803414194,1.58931866796463
"CTCF",0.0112514288691445,0.03,0.00658622073098858,0.155357142857143,0.064808875736678,12
"EN1",0.00191595779789028,0.03,0.122714056462894,0.155357142857143,-0.0311950717705162,1.88957483921133
"PLAG1",0.0146164808590556,0.03,0.00920356872935169,0.155357142857143,0.00175110636300141,0.0488327222737778
"FOXF2",0.00397615393865935,0.04,0.109475065176689,0.187096774193549,-0.00609133439470928,0.319510620348192
"GATA1",0.00313962462271422,0.04,0.130425480364916,0.187096774193549,-0.00938920679557986,0.30140645844134
"NR3C1",0.0019524847661761,0.04,0.146047632694181,0.187096774193549,-0.0384615753122648,3.20502895523242
"NKX3-2",0.00192354969838807,0.0449999999999999,0.0944085875820033,0.197727272727272,0.0636539515319705,2.23611247670477
"USF1",0.00931113598549387,0.0449999999999999,0.0169789305955341,0.197727272727272,-0.0350237050332358,1.13237704613098
"TFAP2C",0.0121111138720376,0.05,0.0160130439492909,0.209868421052631,0.0100180016107241,0.392452829651757
"ELK1",0.0082712605384118,0.0549999999999999,0.0115639664952396,0.209868421052631,0.0260981426132456,7.68045729977608
"GFI1B",0.00190474212145644,0.0549999999999999,0.129392024893948,0.209868421052631,0.0296192497503157,1.31099677475628
"MAFK",0.00279981869228916,0.0549999999999999,0.136597795670456,0.209868421052631,0.0102490562623238,0.367432082040028
"REST",0.00783098361013818,0.0549999999999999,0.0281952234431975,0.209868421052631,0.0536234211213178,2.23200553115661
"KLF1",0.0107408541289991,0.0600000000000001,0.0238367150286236,0.2175,0.0149316950959822,0.551144609026907
"NFYA",0.00182155254194801,0.0600000000000001,0.150773655579128,0.2175,0.101557085791107,6.12298848305395
"JUNB",0.0146022239762507,0.0649999999999999,0.0240989567192325,0.229878048780488,0.011308775166691,0.498018455878628
"TP53",0.00272325437005632,0.0700000000000001,0.15149633371458,0.241666666666667,0.00954929158685282,0.762660918746071
"GATA3",0.00515436776645555,0.075,0.171517995210774,0.247159090909091,0.167676517115233,7.54815103497282
"HSF1",0.00200136927853604,0.075,0.16008695797595,0.247159090909091,-0.0529614450400713,2.83320680928669
"ZFX",0.013201899538718,0.085,0.0385898875562147,0.273888888888889,0.0360046467413599,1.85012955281602
"MYB",0.00260077352624493,0.0900000000000001,0.168517516747692,0.283695652173913,0.0280346121075651,1.06824173213093
"GATA2",0.00471708253438631,0.105,0.211707483909662,0.3171875,0.027021019563767,0.874553321180277
"ZNF143",0.00804513324964883,0.105,0.0701941711246772,0.3171875,0.0701778707842825,12
"MAFF",0.00304897111881954,0.11,0.17456072028232,0.325510204081633,-0.00643758237937533,0.17228475473157
"STAT1",0.00227975499410607,0.115,0.175205574287408,0.326960784313725,0.00228311869261152,0.104272441431606
"STAT6",0.00304610270972467,0.115,0.165774439441153,0.326960784313725,-0.0302659431513583,7.7836518361067
"E2F6",0.0092679458320269,0.12,0.0808417482543831,0.334615384615385,-0.00604171093356168,0.486054501656786
"POU2F2",0.00420922288777843,0.125,0.209854686948446,0.341981132075472,0.123092356266473,5.55054686329984
"MECOM",0.00545050672882793,0.13,0.175200633370948,0.349074074074074,0.018579538848576,3.02187166452713
"FOSL1",0.0130791646582701,0.135,0.0789097575489976,0.349553571428571,-0.0473489156490801,0.998133705258874
"RFX1",0.00700993489295101,0.135,0.0974549056889855,0.349553571428571,-0.00276101739068726,0.188086910104924
