"","Magnitude","dTFI uncorrected p-value","dTFI normalized scores","dTFI FDR","log FC","limma -logp"
"INSM1",0.00881229772282228,0.02,0.00869931042321648,0.0728888888888889,-0.00687105252426845,0.311047053895956
"PAX6",0.00396689159673402,0.02,0.0744488220645068,0.0728888888888889,-0.00232245234629443,0.244300350121124
"E2F1",0.00938654150350302,0.0249999999999999,0.00289098706736102,0.0819999999999997,0.00330885825423942,0.436209406434187
"FOXA2",0.0034226047690096,0.0249999999999999,0.101479781512157,0.0819999999999997,-0.003071158934771,0.31337005167891
"NR3C1",0.00203977357819836,0.0249999999999999,0.0918562354812786,0.0819999999999997,0.00132979024520084,0.323391118856886
"SOX6",0.00242105050351414,0.0249999999999999,0.0942850828712042,0.0819999999999997,0.0150580283582649,1.74737567039831
"SOX9",0.00398598081879528,0.0249999999999999,0.0940338684469059,0.0819999999999997,-0.0038750672347154,0.343625404103736
"BCL6",0.00193645632250877,0.03,0.121105962454863,0.0928301886792454,0.0396554324375752,9.5041363422945
"FOXH1",0.00355569922550592,0.03,0.111778737366075,0.0928301886792454,0.00782070850257348,0.910315872473436
"NKX3-2",0.00251542317853384,0.03,0.119889566709581,0.0928301886792454,0.00448528057330964,0.401119574595785
"ESR1",0.0106161063488759,0.0349999999999999,0.00721928925383208,0.0940983606557375,0.00366195350109154,0.535612474565974
"FOXI1",0.00290308172609833,0.0349999999999999,0.118034854323002,0.0940983606557375,0.00503761756675126,0.333128683745008
"HLF",0.00552427098035967,0.0349999999999999,0.113301452591446,0.0940983606557375,-0.0214378978435906,3.24703861706726
"MYCN",0.00227000604795906,0.0349999999999999,0.0814895755060511,0.0940983606557375,-0.00642439264217384,1.20072555537236
"NOBOX",0.00588019146397323,0.0349999999999999,0.122978631821793,0.0940983606557375,0.00202478633419906,0.190795957264085
"PAX4",0.0015368323745089,0.0349999999999999,0.0927893971068062,0.0940983606557375,-0.000526845412445084,0.0508070344731893
"STAT6",0.00292104017740501,0.0349999999999999,0.0954959610563677,0.0940983606557375,-0.000883932789281849,0.182400175240932
"TFAP2C",0.0113596262876994,0.0349999999999999,0.00967934288975281,0.0940983606557375,0.000508859425426936,0.0435370333575821
"FOXF2",0.00487028844957686,0.04,0.117879889626149,0.1025,0.00453686246317775,0.283943336108493
"MAFK",0.00287515295745013,0.04,0.110379710529676,0.1025,-0.0128610412176237,2.58516821092547
"MAX",0.00255513981649037,0.04,0.128817757980679,0.1025,-0.00147269896371265,0.148790397925093
"CDX2",0.00420099746597715,0.0449999999999999,0.0949651211240488,0.113538461538461,0.0227353086277962,1.89869179409714
"HSF1",0.0020274510726697,0.0549999999999999,0.136837653211127,0.136666666666667,0.00103092673073382,0.157043728057711
"FOXA1",0.00378704343947577,0.0600000000000001,0.134015694483222,0.146865671641791,-0.012451939984379,0.693994388656671
"MYB",0.00264140020715892,0.0649999999999999,0.14359705748642,0.152285714285714,0.00347767961780676,0.286039653459138
"NFYB",0.00242605099814573,0.0649999999999999,0.118916068825378,0.152285714285714,-0.00531696925864822,0.696905393931111
"NR4A2",0.00247030068979026,0.0649999999999999,0.13043176681788,0.152285714285714,0.0258183245245994,0.536266400552871
"RXRA",0.0071685372900348,0.0700000000000001,0.0427565106316472,0.161690140845071,0.0140020271794623,2.67532670835918
"CEBPA",0.00465662216254507,0.075,0.185166076949413,0.164,0.00645408387464323,0.809637086031384
"CEBPB",0.00338874347944139,0.075,0.134058238351718,0.164,0.0136556586054246,4.7280180372461
"CREB1",0.00311371689449687,0.075,0.151354287314256,0.164,0.00280328868234589,0.512480385795976
"MAFF",0.00321667821503929,0.075,0.146926027531127,0.164,-0.00586544570326281,0.17864228290544
"ESR2",0.00670646367610759,0.0800000000000001,0.0554749077273697,0.172631578947369,0.00132133516278002,0.128925737354546
"EHF",0.00209241420233716,0.085,0.128820316001712,0.178717948717949,-0.00505268649705024,0.78470159163306
"RREB1",0.0081191636571697,0.085,0.0551070777577169,0.178717948717949,0.00957549542280023,1.5910886788792
"ERG",0.00208349033998912,0.0900000000000001,0.153783292624002,0.182222222222222,0.00620091700228016,0.711436818621953
"SOX17",0.00440907785089834,0.0900000000000001,0.172099793322271,0.182222222222222,-0.00378408080643374,0.386991801251303
"STAT1",0.00269081806839524,0.0900000000000001,0.156401136868921,0.182222222222222,-0.00166759428138498,0.140581190805849
"FOSL2",0.00263680437349742,0.1,0.150943685597045,0.197590361445783,0.0168771596233463,0.977647646065913
"JUND",0.00265153005813677,0.1,0.164536508564344,0.197590361445783,0.00271849652799177,0.180928954040161
"NFATC2",0.00288592857450787,0.105,0.158837006895935,0.205,-0.0176146943028596,3.43148008621632
"JUN",0.00261087692640055,0.11,0.209491623277442,0.212235294117647,0.0237277987213763,0.741881988408559
"GATA3",0.00709599115558807,0.13,0.238675229155498,0.245057471264368,-0.0305870332993728,6.33140614678088
"TCF7L2",0.00386706705724048,0.13,0.194991631462712,0.245057471264368,0.0177482783722316,1.88775213340307
"POU2F2",0.00468886559568622,0.135,0.203589581131925,0.251590909090909,0.00474387028261289,0.650822708519025
"SOX2",0.00359233848250468,0.15,0.202706560474708,0.276404494382022,-0.0155976390322053,3.21186282208762
"ETS1",0.00249785041032148,0.165,0.250897421159311,0.300666666666667,-0.015274159816815,3.22197552304412
"SPI1",0.0024145113764443,0.17,0.233368789060304,0.303043478260869,0.0111431833330431,1.04548413333638
"SREBF2",0.00318308220478071,0.17,0.263080690518051,0.303043478260869,-0.0017128889050139,0.241667608908462
"NFE2L2",0.00319986255377567,0.175,0.235081605208824,0.30531914893617,0.0048662343363915,0.787634806985716
"SRF",0.00427336505096927,0.175,0.213655572405117,0.30531914893617,0.000938990079764459,0.151200134091361
"ELF5",0.00311708080519769,0.19,0.246894572464345,0.324583333333333,-0.00387581317568132,0.380521421207334
"SRY",0.00757554659020381,0.19,0.242756276830865,0.324583333333333,0.00483308491733133,0.328078385744156
"FOXD3",0.00415658612039244,0.195,0.256410688637138,0.328,0.000454665966177371,0.0408894178033009
"FOXO1",0.00376214618176028,0.2,0.26417431053099,0.328,-0.0242516502627756,8.19497205074994
"FOXP2",0.00476731290066905,0.2,0.314584206351963,0.328,-0.00141466785653112,0.162757251840612
"THAP1",0.00626346502812534,0.2,0.18608482837828,0.328,-0.00068744841364281,0.0445864464464257
"ATOH1",0.00622399772154767,0.215,0.199600948393846,0.335809523809524,0.00839743309775586,0.768121740109544
"EN1",0.00299047738189764,0.215,0.267518428705993,0.335809523809524,-0.00277682190829088,0.197963346701945
"ESRRB",0.00269926586389409,0.215,0.270032892132575,0.335809523809524,-0.00229808941107676,0.218227681366682
"GATA2",0.00559138360494844,0.215,0.257803959341037,0.335809523809524,-0.00285999917165556,0.249532664237247
"NR2C2",0.00714131031492898,0.215,0.230497779081099,0.335809523809524,-0.00247542961015524,0.256000885322057
"RUNX1",0.00254357323296087,0.22,0.32735701839022,0.337196261682243,0.00986005298306123,1.28976741243274
"ZNF263",0.0089376254270038,0.22,0.272679666357366,0.337196261682243,-0.0141490324191274,5.88964611602969
"MECOM",0.00680072795077086,0.235,0.285176319052692,0.356851851851852,0.011295149750446,0.858979680399383
"HNF4A",0.00586343999426219,0.245,0.217275645362002,0.368623853211009,0.00482782034455302,0.698214050612016
"ELF1",0.00582846268796427,0.255,0.227116057374228,0.380181818181818,-0.00158910066344646,0.318534124166765
"USF2",0.00285401874322772,0.275,0.281325686761819,0.406306306306306,-0.000480751555252515,0.0844563299130036
"PLAG1",0.00918140004433829,0.285,0.338427377271473,0.413628318584071,-0.0600720480166848,7.08810986047738
"ZEB1",0.0054080223772371,0.285,0.32625257191768,0.413628318584071,-0.0285830729873473,4.80063222672418
"REST",0.00620044081829628,0.29,0.370075563194245,0.41719298245614,-0.00128821849612374,0.0978790784277998
"LHX3",0.00893422917313989,0.32,0.33287550131683,0.456347826086957,-0.000629658094055399,0.0508372844243296
"TCF3",0.00542797331819976,0.33,0.345082534605453,0.466551724137931,-0.00652409265362912,1.41170888606865
"E2F3",0.00357628489401397,0.375,0.438629447398514,0.521186440677966,0.00778086221429734,1.62693421835762
"FOS",0.00574408064525362,0.375,0.396542317773594,0.521186440677966,0.00616921336718962,0.40530046842324
"HINFP",0.00526271597185723,0.4,0.394587352731565,0.55126050420168,-0.00493824720669243,0.71691472312701
"YY1",0.00566390037295956,0.42,0.492517038750826,0.574,-0.00145001092351545,0.435252638728317
"FOXO3",0.00875704479484743,0.44,0.454495878988162,0.596363636363636,0.0223704119396222,3.44737430617344
"MYOD1",0.00484402771635181,0.45,0.536730435092204,0.604918032786885,0.00690478993792847,1.03328130691473
"NR5A2",0.00510126380422621,0.465,0.517916404098413,0.61664,-0.004882831199235,0.652444811241803
"FOSL1",0.00612577928936291,0.47,0.462506054769428,0.61664,0.0174622951451337,0.357428169468458
"TFCP2L1",0.00522431347081713,0.47,0.613045523142085,0.61664,0.0104329195638888,1.24048745592053
"MEIS1",0.00327712118969304,0.485,0.489455413276557,0.631269841269841,-0.00964415706824246,0.279715301144089
"JUNB",0.00594937639408101,0.495,0.448389978432049,0.639212598425197,0.000751150890637731,0.0486058790088227
"PAX5",0.00570658629046296,0.515,0.658575131872335,0.65984375,0.00116256332877794,0.112315144160911
"KLF5",0.00641871272877973,0.52,0.477430593207654,0.661085271317829,-0.00548766554370284,0.383439576469948
"SP2",0.00999280337259629,0.54,0.536808324898293,0.681230769230769,-0.00258972182904691,0.428229136961607
"PPARG",0.00595313333213031,0.55,0.615413055645897,0.688549618320611,0.00373194178267077,0.199100538910715
"GATA1",0.00646448447249884,0.555,0.501506683945237,0.689545454545455,0.0109733397141851,2.20275449026614
"NR2F1",0.00559792677809548,0.585,0.589170898197934,0.721353383458647,-0.00295433316921762,0.274672161420232
