"","Magnitude","dTFI uncorrected p-value","dTFI normalized scores","dTFI FDR","log FC","limma -logp"
"NR5A2",0.0114309827734286,0.00499999999999989,1.27759917238901e-05,0.0356521739130427,0.000559942134766838,0.078524335411035
"SP2",0.0313957598865879,0.00499999999999989,0.000602182813402852,0.0356521739130427,0.00458846951551964,1.73928318292954
"TCF12",0.0100303578019781,0.00499999999999989,7.82374726071566e-06,0.0356521739130427,-0.0291133240495527,6.11557797442012
"TCF3",0.0105755898481627,0.00499999999999989,5.52441249301872e-06,0.0356521739130427,-0.0133771815615238,8.46713663190168
"ZEB1",0.00971193425435267,0.00499999999999989,0.000235601767530902,0.0356521739130427,-0.00321605388061041,0.436295312877697
"E2F3",0.012318270637629,0.01,9.47747065072058e-05,0.0656000000000001,-0.00386846841909645,1.2318317644597
"TFAP2C",0.0138594716629418,0.01,0.000264535850789338,0.0656000000000001,0.00767748239330641,1.46186946525033
"RFX5",0.00876412265876065,0.0149999999999999,0.00136842729659659,0.0911111111111105,-0.00966491642585273,7.59099677853457
"RXRA",0.0100041868875036,0.0149999999999999,0.000312177610703568,0.0911111111111105,0.00373866183707877,1.30333529095754
"EGR2",0.0121784397385092,0.02,0.00612945459632663,0.1025,-0.011161381074735,0.617069923163158
"KLF4",0.0172870968287228,0.02,0.00416521366073708,0.1025,0.0071313750740962,1.65264357788924
"MEF2A",0.00185158495125125,0.02,0.0953465010838768,0.1025,-0.00257097197125053,0.302005444937911
"NR2E3",0.00314998676962104,0.02,0.0946962323905078,0.1025,-0.00331562869267626,0.64312603420169
"REL",0.00130109903981218,0.02,0.108764757523389,0.1025,0.00103662839535489,0.186441400808768
"EGR1",0.0224076647836974,0.0249999999999999,0.000554829221554032,0.124242424242424,0.00590908712356484,0.825813671477171
"PPARG",0.0107963858088676,0.03,0.00385173095497193,0.144705882352941,0.000495524258446512,0.0703990956316852
"MAFF",0.00237222805259046,0.0349999999999999,0.157555075444473,0.155135135135135,0.00965864127528412,2.00974076307579
"NKX3-2",0.00199358372465173,0.0349999999999999,0.12256849560959,0.155135135135135,0.0108090902763772,2.66487272686848
"SP1",0.0230446193418689,0.0349999999999999,0.00992667202283926,0.155135135135135,0.0047547179709695,1.01218959547555
"KLF1",0.0115398814632272,0.04,0.00631086206226028,0.172631578947369,-0.00845067174070282,0.665352100549289
"FOXH1",0.0032317394669379,0.0449999999999999,0.137424785277381,0.1845,0.0130325795150077,2.74956264971575
"MAFK",0.00235749523464784,0.0449999999999999,0.138076153903273,0.1845,0.00295917890159932,1.32073257310349
"GFI1B",0.00195506799826193,0.05,0.160547612470569,0.2,0.00359010236720893,0.410469743823081
"ESRRB",0.00816797924725863,0.0549999999999999,0.042143915683067,0.214761904761905,0.00417253281338022,0.774057714080353
"RREB1",0.00832744320336604,0.0600000000000001,0.0300267084891317,0.228837209302326,-0.00138002861619319,0.668627516330021
"ELF1",0.00714156948093989,0.0649999999999999,0.0387676912900501,0.234285714285715,-0.00250561442284695,1.39503337289429
"PAX4",0.00149676312915936,0.0649999999999999,0.197192083210474,0.234285714285715,0.00742431721956023,1.68092706966363
"NFE2L2",0.0107617847386599,0.0700000000000001,0.00908609176503594,0.234285714285715,0.000965797284689068,0.19256106615953
"NR2C2",0.00901563015078715,0.0700000000000001,0.0312350171833575,0.234285714285715,-0.00278167491237505,1.29781549561911
"PAX5",0.00819562608909439,0.0700000000000001,0.037133417075931,0.234285714285715,-0.0112469549423547,3.61179718578434
"ZNF143",0.00864616066684304,0.0700000000000001,0.0318670658341451,0.234285714285715,7.17840299883583e-06,0.000941623845393932
"MEF2C",0.00230673871482498,0.075,0.173476428561827,0.236538461538461,-0.00505177249580378,1.29001297866946
"NFIL3",0.00766021972295432,0.075,0.192168026717944,0.236538461538461,0.0105200518600307,3.20950820729673
"SRF",0.00301032713307299,0.075,0.170668903713209,0.236538461538461,-0.00256579330495241,0.914609394895401
"PLAG1",0.0123809449086289,0.085,0.0348350158898514,0.263018867924528,-0.0459369835192566,3.25995951795834
"MZF1",0.00714378336855955,0.095,0.053863537117719,0.283272727272727,0.00604290067861927,1.98597129335852
"PAX6",0.00463583562071597,0.095,0.153170458239936,0.283272727272727,0.00502858649559276,0.640817481438401
"STAT4",0.00196623861873826,0.105,0.208279291245219,0.3075,-0.0115734369605194,3.33048448982088
"ATOH1",0.00676008054662215,0.11,0.0756274852552445,0.311034482758621,0.00299644979932896,0.481996467669241
"ZNF263",0.022564546412008,0.11,0.08291825312762,0.311034482758621,8.24950380272998e-05,0.0167759740168158
"PBX1",0.00577139452295062,0.115,0.21204740277275,0.319661016949153,0.0125980255464446,1.17872777977732
"FLI1",0.00664328087489053,0.13,0.0896013480126165,0.349508196721311,-0.0115428708242668,3.14786925659613
"SPZ1",0.00181162102373825,0.13,0.215196037029331,0.349508196721311,0.00546047538594323,0.773711255745665
