"","Magnitude","dTFI uncorrected p-value","dTFI normalized scores","dTFI FDR","log FC","limma -logp"
"FOXP1",0.00575652476477069,0.545,0.673838905581977,0.74,-0.00633509619061097,3.04577881041516
"GATA4",0.00643799534948106,0.555,0.530365277393968,0.746666666666667,-0.0130270868512744,1.15855321196431
"HOXC9",0.00929913904707467,0.56,0.541995721951326,0.746666666666667,0.0469516909999566,3.3602019719364
"HLF",0.00970885133308338,0.57,0.526996110978895,0.753214285714286,-0.00513178262449693,0.627608859336875
"ATOH1",0.00497390798871026,0.58,0.625808404541725,0.759646017699115,0.0196146604099995,3.49555605423218
"RUNX2",0.00324770171486731,0.59,0.540353383033648,0.765964912280702,0.0326496560641922,9.28353504378141
"NHLH1",0.0033481576492585,0.6,0.573449157612449,0.771623931623932,-0.00655826036765626,0.583044398601997
"FOXO1",0.00700885313453733,0.605,0.714295950170099,0.771623931623932,-0.010152697990227,2.86972059734021
"ZNF263",0.0176532425089652,0.61,0.745185577956758,0.771623931623932,-0.00965749797331648,3.60729246171688
"TP63",0.00436250588674612,0.63,0.831022413420524,0.789747899159664,-0.00621979300946716,0.362228094914522
"STAT4",0.00398121247301624,0.635,0.588204784373844,0.789747899159664,0.00756904344742003,1.34087449165217
"SOX3",0.00522580742976532,0.65,0.745144010294042,0.801666666666667,-0.0118515835356554,2.16318991739137
"SRF",0.00908365195813338,0.66,0.769242373675405,0.807272727272727,0.00378095870165441,0.507976035531548
"FOXD3",0.00772100949547441,0.705,0.831779572467196,0.855245901639344,-0.0195231228708927,3.84611103024809
"NFYB",0.00433065458840455,0.715,0.66304706503557,0.860325203252032,0.0125452814824752,3.01769618392441
"EHF",0.0036409797201093,0.725,0.622310589093796,0.865322580645161,0.00966404929336453,0.920843345836125
"CREB1",0.0067589855684238,0.75,0.841440597904097,0.888,0.0038992839207991,0.674461290093489
"SRY",0.0114368340254855,0.775,0.662723286396862,0.91031746031746,-0.00922563176260302,0.71288107944846
"SREBF1",0.00489948526202215,0.795,0.988605894449462,0.916716417910448,0.00255509783242715,0.879554939715337
"STAT1",0.00457821955253491,0.795,0.688562528418964,0.916716417910448,-0.0177471190883173,2.04201666740345
"SPIB",0.00414634075142297,0.8,0.695266041255885,0.916716417910448,0.0457466977901786,5.99130363673278
"SREBF2",0.00552467011701172,0.815,0.937003607183521,0.916716417910448,-0.00615516561684099,3.28196416632721
"NR2F1",0.00403501875738311,0.82,0.741229449700491,0.916716417910448,-0.00358175510203556,0.769931974323873
"NFATC2",0.00600188042926176,0.82,0.932441182675325,0.916716417910448,-0.00953957167969941,1.05346228888198
"FOXF2",0.0106633452011136,0.825,0.926512642141514,0.916716417910448,-0.0192374849273922,5.37822087734333
"YY1",0.00480703266205466,0.83,0.929155168919794,0.916716417910448,0.0024497209811863,1.33335775641466
"HNF1B",0.0124179141087554,0.855,0.703171170557588,0.930441176470588,-0.020806621722009,6.36954853504559
"PAX4",0.00413538930148067,0.855,0.977738506782067,0.930441176470588,0.0166788735445969,2.53833728469788
"ELF5",0.00568089156120904,0.88,0.977233821660226,0.950656934306569,0.0548493207510586,6.59535378802757
"FOXD1",0.0100090959811958,0.905,0.987184611509242,0.953661971830986,-0.0272015638794484,3.12511973591906
"ESRRB",0.00425633088767216,0.91,0.944183256913772,0.953661971830986,-0.00528150728578328,1.04362747782699
"FOXI1",0.00635011086820599,0.91,0.808874479753507,0.953661971830986,-0.00647694676324166,0.480324707416328
"ETS1",0.00421159159698144,0.915,0.916898868505007,0.953661971830986,-0.00608827943679473,1.04100799696572
"RUNX1",0.0039502689800823,0.915,0.837029593083687,0.953661971830986,0.024081791907069,10
"REL",0.00434504784853568,0.925,0.931702821085096,0.957342657342657,0.0114031527699522,1.41376401751161
"FOXL1",0.0147409082451208,0.95,0.81773156900966,0.969655172413793,0.00283104591762478,0.237666469595007
"SOX17",0.00875888388825856,0.95,0.945292156045598,0.969655172413793,-0.0112982323174891,1.29818416224189
"AR",0.00511307318515996,0.965,0.879804596408362,0.978219178082192,-0.0321412754771624,10
"ERG",0.0038585041297179,0.975,0.802776985219258,0.98,-0.0413005308755146,10
"SOX2",0.00611968841497229,0.98,0.867195036868676,0.98,-0.0354217053773767,1.3719103365948
